ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2013,2013,0,Total,51996,11086,"Census Tract 119.02, San Francisco County, CA",14000US06075011902
2018,2018,0,Total,48113,8762,"Census Tract 120, San Francisco County, CA",14000US06075012000
2017,2017,0,Total,39957,5706,"Census Tract 120, San Francisco County, CA",14000US06075012000
2016,2016,0,Total,37219,3988,"Census Tract 120, San Francisco County, CA",14000US06075012000
2015,2015,0,Total,38930,4253,"Census Tract 120, San Francisco County, CA",14000US06075012000
2014,2014,0,Total,36134,2384,"Census Tract 120, San Francisco County, CA",14000US06075012000
2013,2013,0,Total,35413,4190,"Census Tract 120, San Francisco County, CA",14000US06075012000
2018,2018,0,Total,72806,7981,"Census Tract 121, San Francisco County, CA",14000US06075012100
2017,2017,0,Total,73521,10033,"Census Tract 121, San Francisco County, CA",14000US06075012100
2016,2016,0,Total,53595,4844,"Census Tract 121, San Francisco County, CA",14000US06075012100
2015,2015,0,Total,51676,4291,"Census Tract 121, San Francisco County, CA",14000US06075012100
2014,2014,0,Total,47367,7189,"Census Tract 121, San Francisco County, CA",14000US06075012100
2013,2013,0,Total,49872,8005,"Census Tract 121, San Francisco County, CA",14000US06075012100
2018,2018,0,Total,66563,11097,"Census Tract 122.01, San Francisco County, CA",14000US06075012201
2017,2017,0,Total,56298,14020,"Census Tract 122.01, San Francisco County, CA",14000US06075012201
2016,2016,0,Total,43698,12316,"Census Tract 122.01, San Francisco County, CA",14000US06075012201
2015,2015,0,Total,41677,10517,"Census Tract 122.01, San Francisco County, CA",14000US06075012201
2014,2014,0,Total,38045,8668,"Census Tract 122.01, San Francisco County, CA",14000US06075012201
2013,2013,0,Total,35244,10614,"Census Tract 122.01, San Francisco County, CA",14000US06075012201
2018,2018,0,Total,35970,10672,"Census Tract 122.02, San Francisco County, CA",14000US06075012202
2017,2017,0,Total,36719,9258,"Census Tract 122.02, San Francisco County, CA",14000US06075012202
2016,2016,0,Total,31202,9818,"Census Tract 122.02, San Francisco County, CA",14000US06075012202
2015,2015,0,Total,29896,9176,"Census Tract 122.02, San Francisco County, CA",14000US06075012202
2014,2014,0,Total,29226,6323,"Census Tract 122.02, San Francisco County, CA",14000US06075012202
2013,2013,0,Total,27908,6050,"Census Tract 122.02, San Francisco County, CA",14000US06075012202
2018,2018,0,Total,23371,6373,"Census Tract 123.01, San Francisco County, CA",14000US06075012301
2017,2017,0,Total,17342,6625,"Census Tract 123.01, San Francisco County, CA",14000US06075012301
2016,2016,0,Total,15272,2872,"Census Tract 123.01, San Francisco County, CA",14000US06075012301
2015,2015,0,Total,13909,3975,"Census Tract 123.01, San Francisco County, CA",14000US06075012301
2014,2014,0,Total,12371,2392,"Census Tract 123.01, San Francisco County, CA",14000US06075012301
2013,2013,0,Total,12018,1798,"Census Tract 123.01, San Francisco County, CA",14000US06075012301
2018,2018,0,Total,43493,13985,"Census Tract 123.02, San Francisco County, CA",14000US06075012302
2017,2017,0,Total,40976,9863,"Census Tract 123.02, San Francisco County, CA",14000US06075012302
2016,2016,0,Total,39081,14935,"Census Tract 123.02, San Francisco County, CA",14000US06075012302
2015,2015,0,Total,34189,7219,"Census Tract 123.02, San Francisco County, CA",14000US06075012302
2014,2014,0,Total,29362,6461,"Census Tract 123.02, San Francisco County, CA",14000US06075012302
2013,2013,0,Total,26042,3390,"Census Tract 123.02, San Francisco County, CA",14000US06075012302
2018,2018,0,Total,24511,10863,"Census Tract 124.01, San Francisco County, CA",14000US06075012401
2017,2017,0,Total,23467,9072,"Census Tract 124.01, San Francisco County, CA",14000US06075012401
2016,2016,0,Total,18979,4350,"Census Tract 124.01, San Francisco County, CA",14000US06075012401
2015,2015,0,Total,20332,2970,"Census Tract 124.01, San Francisco County, CA",14000US06075012401
2014,2014,0,Total,20152,2698,"Census Tract 124.01, San Francisco County, CA",14000US06075012401
2013,2013,0,Total,19108,2697,"Census Tract 124.01, San Francisco County, CA",14000US06075012401
2018,2018,0,Total,61736,12742,"Census Tract 124.02, San Francisco County, CA",14000US06075012402
2017,2017,0,Total,46422,23163,"Census Tract 124.02, San Francisco County, CA",14000US06075012402
2016,2016,0,Total,40453,6006,"Census Tract 124.02, San Francisco County, CA",14000US06075012402
2015,2015,0,Total,38333,11989,"Census Tract 124.02, San Francisco County, CA",14000US06075012402
2014,2014,0,Total,32794,16447,"Census Tract 124.02, San Francisco County, CA",14000US06075012402
2013,2013,0,Total,25274,7776,"Census Tract 124.02, San Francisco County, CA",14000US06075012402
2018,2018,0,Total,22150,2731,"Census Tract 125.01, San Francisco County, CA",14000US06075012501
2017,2017,0,Total,21412,1870,"Census Tract 125.01, San Francisco County, CA",14000US06075012501
2016,2016,0,Total,19328,1806,"Census Tract 125.01, San Francisco County, CA",14000US06075012501
2015,2015,0,Total,16902,5468,"Census Tract 125.01, San Francisco County, CA",14000US06075012501
2014,2014,0,Total,13164,2228,"Census Tract 125.01, San Francisco County, CA",14000US06075012501
2013,2013,0,Total,12210,1576,"Census Tract 125.01, San Francisco County, CA",14000US06075012501
2018,2018,0,Total,14976,6205,"Census Tract 125.02, San Francisco County, CA",14000US06075012502
2017,2017,0,Total,12479,2591,"Census Tract 125.02, San Francisco County, CA",14000US06075012502
2016,2016,0,Total,11971,739,"Census Tract 125.02, San Francisco County, CA",14000US06075012502
2015,2015,0,Total,11925,855,"Census Tract 125.02, San Francisco County, CA",14000US06075012502
2014,2014,0,Total,12267,2211,"Census Tract 125.02, San Francisco County, CA",14000US06075012502
2013,2013,0,Total,12037,1027,"Census Tract 125.02, San Francisco County, CA",14000US06075012502
2018,2018,0,Total,143000,15192,"Census Tract 126.01, San Francisco County, CA",14000US06075012601
2017,2017,0,Total,129139,12610,"Census Tract 126.01, San Francisco County, CA",14000US06075012601
2016,2016,0,Total,125139,20639,"Census Tract 126.01, San Francisco County, CA",14000US06075012601
2015,2015,0,Total,101875,17069,"Census Tract 126.01, San Francisco County, CA",14000US06075012601
2014,2014,0,Total,97629,12437,"Census Tract 126.01, San Francisco County, CA",14000US06075012601
2013,2013,0,Total,92066,16031,"Census Tract 126.01, San Francisco County, CA",14000US06075012601
2018,2018,0,Total,139063,24880,"Census Tract 126.02, San Francisco County, CA",14000US06075012602
2017,2017,0,Total,129196,23703,"Census Tract 126.02, San Francisco County, CA",14000US06075012602
2016,2016,0,Total,122212,19051,"Census Tract 126.02, San Francisco County, CA",14000US06075012602
2015,2015,0,Total,128750,12395,"Census Tract 126.02, San Francisco County, CA",14000US06075012602
2014,2014,0,Total,131302,8665,"Census Tract 126.02, San Francisco County, CA",14000US06075012602
2013,2013,0,Total,133155,22466,"Census Tract 126.02, San Francisco County, CA",14000US06075012602
2018,2018,0,Total,133641,23881,"Census Tract 127, San Francisco County, CA",14000US06075012700
2017,2017,0,Total,129300,30274,"Census Tract 127, San Francisco County, CA",14000US06075012700
2016,2016,0,Total,131568,17339,"Census Tract 127, San Francisco County, CA",14000US06075012700
2015,2015,0,Total,107689,37538,"Census Tract 127, San Francisco County, CA",14000US06075012700
2014,2014,0,Total,121354,26223,"Census Tract 127, San Francisco County, CA",14000US06075012700
2013,2013,0,Total,105128,28602,"Census Tract 127, San Francisco County, CA",14000US06075012700
2018,2018,0,Total,154917,30519,"Census Tract 128, San Francisco County, CA",14000US06075012800
2017,2017,0,Total,151830,26513,"Census Tract 128, San Francisco County, CA",14000US06075012800
2016,2016,0,Total,126716,21616,"Census Tract 128, San Francisco County, CA",14000US06075012800
2015,2015,0,Total,125758,30815,"Census Tract 128, San Francisco County, CA",14000US06075012800
2014,2014,0,Total,125750,22127,"Census Tract 128, San Francisco County, CA",14000US06075012800
2013,2013,0,Total,118281,19018,"Census Tract 128, San Francisco County, CA",14000US06075012800
2018,2018,0,Total,150625,10938,"Census Tract 129.01, San Francisco County, CA",14000US06075012901
2017,2017,0,Total,143403,14856,"Census Tract 129.01, San Francisco County, CA",14000US06075012901
2016,2016,0,Total,142500,13197,"Census Tract 129.01, San Francisco County, CA",14000US06075012901
2015,2015,0,Total,124056,13747,"Census Tract 129.01, San Francisco County, CA",14000US06075012901
