cluster_size,mean,var_latitude,var_longitude,cov
45,"(37.78190248772992, -122.40803997019914)",5.284820601463636e-07,1.0437292274483772e-06,1.473206040621721e-08
45,"(37.771644407081624, -122.50973782172709)",6.046213758383059e-07,3.367120948675689e-07,-5.613551530088123e-08
44,"(37.776267083369916, -122.44489576286774)",1.6558478410612253e-06,1.2805378287641703e-06,-3.7612066259566504e-07
43,"(37.74982131227768, -122.42906552692443)",1.3914724309870283e-06,4.092433361704315e-06,1.0234623636955476e-06
43,"(37.72723629763946, -122.3817756843625)",9.963481849894164e-07,1.9500930109120635e-06,5.511567571952331e-07
43,"(37.794797870759204, -122.43102768503651)",1.7864494934468288e-06,1.9987094541435274e-06,9.124347716158076e-07
42,"(37.805287474319776, -122.40961954289023)",1.5646446719966731e-06,1.201321199933589e-06,-4.041259193289384e-07
42,"(37.73968393370399, -122.40025240402437)",4.898897875571908e-07,1.1726413454300866e-06,5.844642696331544e-07
42,"(37.78100606110139, -122.40414023451476)",2.96446391666398e-07,8.81763162363137e-07,-1.8292570716097938e-07
41,"(37.75803515610741, -122.42344988961129)",6.754324744666657e-07,2.3662601889570067e-06,3.192441817174315e-07
41,"(37.786783211457646, -122.39943170092069)",3.937576100207048e-07,1.4586017375129216e-06,2.736646935980613e-07
41,"(37.71985837857059, -122.4272351608626)",9.660839649354374e-07,2.1948564177152373e-06,6.979580148382528e-08
41,"(37.76808530703485, -122.40598225564685)",1.8028734073695392e-06,1.2879778056130664e-06,-8.632204955945797e-07
40,"(37.753376769107795, -122.39966215149937)",7.544841382852366e-07,1.1957849465989866e-06,-3.149120681182026e-07
39,"(37.799116546559404, -122.43149074105706)",1.3447934231188578e-06,2.2377532666006494e-06,4.845496893144863e-07
39,"(37.802284419991196, -122.44198700937189)",1.2310103785856988e-06,2.731260906587457e-06,-6.101718575650367e-07
39,"(37.774008265807225, -122.46573209484914)",7.997321880441859e-07,3.5952878526349246e-06,6.782202261147404e-07
39,"(37.78152843834653, -122.46063516171584)",1.1463039224124392e-06,2.253530283456663e-06,-3.3336812257652145e-08
39,"(37.74017610510637, -122.41460198351848)",1.1542643156847573e-06,2.0155453670070324e-06,1.3053148576210406e-07
38,"(37.78885122878781, -122.40225005617496)",8.847726000918036e-07,1.4143593995971086e-06,9.835748688729093e-08
38,"(37.78981530317048, -122.44624442964312)",2.314096909324506e-06,1.719131954129373e-06,3.765040603346856e-07
37,"(37.78950895565515, -122.43567054848631)",1.3661332322684576e-06,1.6378004730278944e-06,-6.322294848823756e-07
37,"(37.774124225571185, -122.4519382205643)",1.126687884750529e-06,2.3406104598574434e-06,1.4194954314830756e-07
37,"(37.78852961862948, -122.39032220995105)",6.832424543785747e-07,5.755326457053824e-07,1.2921447341985126e-07
37,"(37.72136832353248, -122.39792803814952)",5.668564799270233e-07,3.0875805118920274e-06,9.865324273849312e-07
37,"(37.71751506690789, -122.39022858754682)",1.5093593187064055e-06,7.288506972792706e-07,-5.257307361783697e-07
36,"(37.770880123091, -122.43900743150874)",1.2228935960198051e-06,1.3621194527638176e-06,-8.62517552884354e-08
36,"(37.77844043588733, -122.47876458556665)",1.1990134643902709e-06,3.1742739557595958e-06,-3.484780818336363e-07
36,"(37.7387487314831, -122.41054919780231)",1.737743993795275e-06,8.445905677108673e-07,5.405526240251045e-07
36,"(37.76315743358682, -122.50895884617141)",8.781998800473308e-07,7.092476386126736e-07,-4.7609893957467077e-07
36,"(37.71075231672689, -122.45167554959582)",1.1357214241342543e-06,2.7723604457343055e-06,2.17007034213108e-07
35,"(37.74394110222492, -122.4092562513099)",9.648223939253963e-07,1.897659169050347e-06,-5.388538627753158e-08
35,"(37.71978297969597, -122.40469190334358)",1.303186431543447e-06,9.805434178521046e-07,1.3731265220028945e-07
35,"(37.75632963348377, -122.40754383096511)",9.350454432044861e-07,1.092346795425773e-06,2.651657898931374e-07
35,"(37.75318890384056, -122.43845418098338)",1.454802691683268e-06,1.8456154284082644e-06,-2.6212060404910233e-07
35,"(37.769987386347516, -122.42999869933428)",3.550876104247037e-07,1.3049610851310031e-06,3.5866222226893034e-07
34,"(37.75277144150791, -122.38821867903046)",4.344487616225217e-07,6.292900802575912e-07,-1.017703822279729e-07
34,"(37.728008837798654, -122.40504474158743)",1.0302106096021129e-06,1.6192077718744593e-06,4.241948963427011e-07
33,"(37.798643410858766, -122.4191603294415)",6.49057626614686e-07,1.5485376177779676e-06,2.4160929392046564e-08
33,"(37.716816370928825, -122.40104525925054)",1.7854608857985138e-06,1.4813753795263798e-06,8.406484861556429e-07
33,"(37.71181333545706, -122.4026601038348)",7.638984184401692e-07,2.4479648082105003e-06,6.142302772363414e-07
32,"(37.75769958850686, -122.39464012906025)",1.0802004086993845e-07,2.045024464839339e-06,-1.769969168915012e-08
32,"(37.72018091643844, -122.4093209595118)",1.7276980151404399e-06,1.8574551207492036e-06,-3.4153923099953396e-07
32,"(37.74555442099389, -122.41877257379481)",1.311877497351905e-06,7.893229995761829e-07,-4.0022553439710766e-07
32,"(37.736173511796686, -122.38414858471936)",7.173079983041649e-07,8.649247823043213e-07,-2.0012684748952176e-07
32,"(37.71135823571797, -122.41867597653778)",9.29900760579599e-07,7.553051177833547e-07,5.08991243510521e-07
